date,strategy,benchmark
2019-01-02,100000.0,98634.24008660445
2019-01-03,97882.9907,98478.35367044552
2019-01-04,102391.9907,100837.7084630394
2019-01-07,105110.9907,101449.83135887835
2019-01-08,105280.9907,101230.62646596076
2019-01-09,107162.9907,102252.74339100321
2019-01-10,106974.9907,102060.4429549783
2019-01-11,107115.9907,102794.23046211629
2019-01-14,106517.9907,101897.62448924716
2019-01-15,106492.4428,103897.38626854983
2019-01-16,106112.4428,103919.35159860305
2019-01-17,105073.4428,103346.88786514665
2019-01-18,103376.4428,105232.09644576847
2019-01-21,104753.4428,105812.11999945797
2019-01-22,102749.4428,104406.46841602772
2019-01-23,102940.4428,104331.27211978161
2019-01-24,102815.4428,104920.13096425314
2019-01-25,100340.4428,105773.36429538098
2019-01-28,99319.4428,105750.38257473402
2019-01-29,97703.4483,106088.91703781538
2019-01-30,94016.4483,105242.35999784239
2019-01-31,89721.4483,106343.45645078538
2019-02-01,93792.4483,107863.52504984308
2019-02-11,95982.4483,109825.73684332207
2019-02-12,97403.4483,110618.34878645626
2019-02-13,100098.4483,112833.55879932521
2019-02-14,102548.4483,113003.37906692426
2019-02-15,101880.4483,110896.34157845331
2019-02-18,106849.4483,114451.71905529093
2019-02-19,108763.9075,114247.87627510527
2019-02-20,109769.9075,114657.07313521563
2019-02-21,109616.9075,114350.77087579925
2019-02-22,114273.9075,116922.05971487395
2019-02-25,121314.9075,123876.19419251694
2019-02-26,118990.9075,122388.4906586398
2019-02-27,119280.9075,122179.18727016628
2019-02-28,116291.9075,121879.524764988
2019-03-01,119064.9075,124548.1811657111
2019-03-04,124364.9075,126022.6018695742
2019-03-05,129301.4988,126750.32424852872
2019-03-06,133653.4988,127815.77727839572
2019-03-07,135734.4988,126512.3858819229
2019-03-08,125968.4988,121487.872268002
2019-03-11,132452.4988,123891.85524365885
2019-03-12,134982.4988,124735.43618568422
2019-03-13,134117.4988,123700.51805362146
2019-03-14,129453.4988,122846.60712876444
2019-03-15,132804.4988,124391.75998195221
2019-03-18,135237.4988,127937.2658481867
2019-03-19,134830.9378,127346.5203701948
2019-03-20,136200.9378,127395.58280633822
2019-03-21,139028.9378,127443.79825032022
2019-03-22,138342.9378,127341.16272958147
2019-03-25,134655.9378,124319.35709906986
2019-03-26,129671.9378,122911.47676371677
2019-03-27,130042.9378,124338.04407122768
2019-03-28,129740.9378,123840.06250337145
2019-03-29,133998.9378,128621.28011007319
2019-04-01,137579.9378,131995.52416126526
2019-04-02,137344.1365,131907.74255796155
2019-04-03,137183.1365,133597.45538311024
2019-04-04,135879.1365,134928.53844095522
2019-04-08,137212.1365,134762.3851511845
2019-04-09,137565.1365,135366.9548698662
2019-04-10,137566.1365,135712.95615011977
2019-04-11,132706.1365,132781.06122869806
2019-04-12,131862.1365,132483.41821855566
2019-04-15,130209.1365,132048.54919210906
2019-04-16,133201.1632,135711.03297968264
2019-04-17,134204.1632,135759.21852982364
2019-04-18,134767.1632,135255.5239168001
2019-04-19,139507.1632,136867.54929228663
2019-04-22,138542.1632,133712.19126637495
2019-04-23,134417.1632,133492.78375964618
2019-04-24,134808.1632,133860.92308992316
2019-04-25,129081.1632,130928.91191467537
2019-04-26,129093.1632,129183.73604987311
2019-04-29,122931.1632,129551.06824644333
2019-04-30,122601.7692,129978.78600181712
2019-05-06,112480.7692,122385.9430390797
2019-05-07,113308.7692,123583.4105923047
2019-05-08,113033.7692,121815.98706672873
2019-05-09,112071.7692,119565.40267535271
2019-05-10,116177.7692,123908.35332234844
2019-05-13,114739.7692,121858.10748868626
2019-05-14,116125.6656,121075.0482885179
2019-05-15,118378.6656,123796.782864691
2019-05-16,118271.6656,124357.16616484882
2019-05-17,114457.6656,121194.97573550153
2019-05-20,114839.6656,120166.34527466072
2019-05-21,117450.6656,121793.36075063578
2019-05-22,116865.6656,121215.52609041451
2019-05-23,113736.6656,119042.74208098877
2019-05-24,113391.6656,119373.21185007812
2019-05-27,116721.6656,120810.87973721068
2019-05-28,116508.6656,121975.5238530266
2019-05-29,116619.6656,121698.1256163115
2019-05-30,115637.6656,120943.28288050157
